Category ,Product,Price,Store,Type,Neighborhood,Zip Code ,City ,Income,Population
Fruit,Banana $/lb,0.79,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Fruit,Banana $/lb,0.69,Whole Foods,High-end Grocery,River Oaks,77019,Houston,175857,20644
Fruit,Banana $/lb,0.59,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Snack,Blue Bell Vanilla Ice Cream 16 oz,2.49,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63901,47869
Snack,Blue Bell Vanilla Ice Cream 16 oz,2.67,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Snack,Blue Bell Vanilla Ice Cream 16 oz,2.59,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Snack,Blue Bell Vanilla Ice Cream 16 oz,2.37,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Snack,Blue Bell Vanilla Ice Cream 16 oz,2.99,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Snack,Campbells Chicken noodle ,1.79,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63892,47860
Snack,Campbells Chicken noodle ,1.25,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Snack,Campbells Chicken noodle ,1.49,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Snack,Campbells Chicken noodle ,1.19,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Snack,Campbells Chicken noodle ,1.58,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Snack,Campbells Chicken noodle ,2.19,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Snack,Campbells Chicken noodle ,1.42,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Snack,Campbells Chicken noodle ,2.19,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Snack,Campbells Chicken noodle ,3.79,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Snack,Campbells Chicken noodle ,4.49,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Staple,Carton of eggs,1.69,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63878,47846
Staple,Carton of eggs,2.68,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Staple,Carton of eggs,2.69,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Staple,Carton of eggs,1.38,Fiesta,Grocery,Downtwon,77004,Houston,80379,35739
Staple,Carton of eggs,4.39,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Staple,Carton of eggs,2.17,H-E-B ,Grocery,Downtown,77005,Houston,260839,27187
Staple,Carton of eggs,2.68,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Staple,Carton of eggs,2.49,Kroger,Grocery,Baytown,77520,Houston,57066,38348
Staple,Carton of eggs,1.28,Kroger Fresh Fare,Small Format,Downtown,77006,Houston,115035,21795
Staple,Carton of eggs,3.19,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Staple,Carton of eggs,0.88,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Staple,Carton of eggs,1.79,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Staple,Carton of eggs,2.37,Walmart,Grocery,Humble,77396,Houston,76211,48587
Staple,Carton of eggs,3.99,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Staple,Carton of eggs,3.49,Whole Foods,High-end Grocery,River Oaks,77019,Houston,175857,20644
Staple,Carton of eggs,2.99,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Cereal,Cinnamon Toast Crunch 1lb,4.69,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63905,47873
Cereal,Cinnamon Toast Crunch 1lb,4.89,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Cereal,Cinnamon Toast Crunch 1lb,3.5,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Cereal,Cinnamon Toast Crunch 1lb,4.19,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Snack,El Milagros Tortilla Chips,3.68,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Snack,El Milagros Tortilla Chips,3.69,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Snack,El Milagros Tortilla Chips,3.68,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Snack,El Milagros Tortilla Chips,2.99,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Cereal,Frosted Flakes 1 lb,4.99,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63903,47871
Cereal,Frosted Flakes 1 lb,4.09,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Cereal,Frosted Flakes 1 lb,2.98,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Cereal,Frosted Flakes 1 lb,4.19,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Staple,Gold Medal Flour 5 lb,2.99,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63900,47868
Staple,Gold Medal Flour 5 lb,2.62,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Staple,Gold Medal Flour 5 lb,3.29,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Staple,Gold Medal Flour 5 lb,2.99,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Staple,Gold Medal Flour 5 lb,2.56,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Staple,Gold Medal Flour 5 lb,5.45,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Staple,Gold Medal Flour 5 lb,3.67,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Staple,Gold Medal Flour 5 lb,3.79,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Staple,Gold Medal Flour 5 lb,3.29,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Spread/Sauce,Good Flow Honey 16 oz,4.99,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63894,47862
Spread/Sauce,Good Flow Honey 16 oz,6.24,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Spread/Sauce,Good Flow Honey 16 oz,6.99,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Spread/Sauce,Good Flow Honey 16 oz,6.24,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Spread/Sauce,Good Flow Honey 16 oz,6.49,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Spread/Sauce,Good Flow Honey 16 oz,7.99,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Spread/Sauce,Good Flow Honey 16 oz,6.99,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Fruit,Granny Smith Apple $/lb,1.99,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63872,47840
Fruit,Granny Smith Apple $/lb,1.57,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Fruit,Granny Smith Apple $/lb,1.29,Fiesta,Grocery,Downtwon,77004,Houston,80379,35739
Fruit,Granny Smith Apple $/lb,1.49,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Fruit,Granny Smith Apple $/lb,0.88,H-E-B ,Grocery,Downtown,77005,Houston,260839,27187
Fruit,Granny Smith Apple $/lb,1.47,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Fruit,Granny Smith Apple $/lb,1.48,Kroger,Grocery,Baytown,77520,Houston,57066,38348
Fruit,Granny Smith Apple $/lb,1.48,Kroger Fresh Fare,Small Format,Downtown,77006,Houston,115035,21795
Fruit,Granny Smith Apple $/lb,2.54,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Fruit,Granny Smith Apple $/lb,1.54,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Fruit,Granny Smith Apple $/lb,0.97,Walmart,Grocery,Humble,77396,Houston,76211,48587
Fruit,Granny Smith Apple $/lb,2.49,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Fruit,Granny Smith Apple $/lb,2.99,Whole Foods,High-end Grocery,River Oaks,77019,Houston,175857,20644
Fruit,Granny Smith Apple $/lb,1.99,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Snack,Greek Yogurt ,1.49,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63890,47858
Snack,Greek Yogurt ,1.37,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Snack,Greek Yogurt ,1.59,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Snack,Greek Yogurt ,1.37,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Snack,Greek Yogurt ,2.19,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Snack,Greek Yogurt ,1.59,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Drink,High Brew Black Coffee,3.99,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63887,47855
Drink,High Brew Black Coffee,2.36,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Drink,High Brew Black Coffee,2.29,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Drink,High Brew Black Coffee,2.47,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Drink,High Brew Black Coffee,2.39,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Drink,High Brew Black Coffee,2.49,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Drink,High Brew Black Coffee,2.79,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Drink,High Brew Black Coffee,2.69,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Cereal,Honey Nut Cheerios ,3.59,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63868,47836
Cereal,Honey Nut Cheerios ,3.5,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Cereal,Honey Nut Cheerios ,4.59,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Cereal,Honey Nut Cheerios ,4.49,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Cereal,Honey Nut Cheerios ,3.94,H-E-B ,Grocery,Downtown,77005,Houston,260839,27187
Cereal,Honey Nut Cheerios ,3.5,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Cereal,Honey Nut Cheerios ,2.79,Kroger,Grocery,Baytown,77520,Houston,57066,38348
Cereal,Honey Nut Cheerios ,3.99,Kroger Fresh Fare,Small Format,Downtown,77006,Houston,115035,21795
Cereal,Honey Nut Cheerios ,4.99,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Cereal,Honey Nut Cheerios ,2.62,Walmart,Grocery,Humble,77396,Houston,76211,48587
Cereal,Honey Nut Cheerios ,3.49,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Cereal,Honey Nut Cheerios ,3.99,Whole Foods,High-end Grocery,River Oaks,77019,Houston,175857,20644
Drink,Horizon 2% Milk Carton,4.99,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63879,47847
Drink,Horizon 2% Milk Carton,3.88,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Drink,Horizon 2% Milk Carton,4.39,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Drink,Horizon 2% Milk Carton,3.99,Fiesta,Grocery,Downtwon,77004,Houston,80379,35739
Drink,Horizon 2% Milk Carton,5.79,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Drink,Horizon 2% Milk Carton,3.88,H-E-B ,Grocery,Downtown,77005,Houston,260839,27187
Drink,Horizon 2% Milk Carton,4.46,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Drink,Horizon 2% Milk Carton,3.88,Kroger,Grocery,Baytown,77520,Houston,57066,38348
Drink,Horizon 2% Milk Carton,1.47,Kroger Fresh Fare,Small Format,Downtown,77006,Houston,115035,21795
Drink,Horizon 2% Milk Carton,4.19,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Drink,Horizon 2% Milk Carton,4.49,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Drink,Horizon 2% Milk Carton,5.49,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Drink,Horizon 2% Milk Carton,3.88,Walmart,Grocery,Humble,77396,Houston,76211,48587
Drink,Horizon 2% Milk Carton,5.49,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Drink,Horizon 2% Milk Carton,4.99,Whole Foods,High-end Grocery,River Oaks,77019,Houston,175857,20644
Drink,Horizon 2% Milk Carton,5.29,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Staple,Imperial Sugar,2.99,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63896,47864
Staple,Imperial Sugar,2.32,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Staple,Imperial Sugar,3.99,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Staple,Imperial Sugar,2.59,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Staple,Imperial Sugar,1.5,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Staple,Imperial Sugar,2.49,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Staple,Imperial Sugar,2.99,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Staple,Imperial Sugar,1.99,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Staple,Imperial Sugar,6.99,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Staple,Iodized Salt,0.89,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63895,47863
Staple,Iodized Salt,2.99,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Staple,Iodized Salt,1.49,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Staple,Iodized Salt,0.84,Fiesta,Grocery,Downtwon,77004,Houston,80379,35739
Staple,Iodized Salt,2.29,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Staple,Iodized Salt,0.5,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Staple,Iodized Salt,1.49,Kroger,Grocery,Baytown,77520,Houston,57066,38348
Staple,Iodized Salt,0.85,Kroger Fresh Fare,Small Format,Downtown,77006,Houston,115035,21795
Staple,Iodized Salt,2.25,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Staple,Iodized Salt,1.17,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Staple,Iodized Salt,1.19,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Staple,Iodized Salt,0.84,Walmart,Grocery,Humble,77396,Houston,76211,48587
Staple,Iodized Salt,2.79,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Staple,Iodized Salt,2.64,Whole Foods,High-end Grocery,River Oaks,77019,Houston,175857,20644
Staple,Iodized Salt,2.69,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Spread/Sauce,JIF Peanut butter ,2.99,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63876,47844
Spread/Sauce,JIF Peanut butter ,2.48,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Spread/Sauce,JIF Peanut butter ,3.39,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Spread/Sauce,JIF Peanut butter ,2.79,Fiesta,Grocery,Downtwon,77004,Houston,80379,35739
Spread/Sauce,JIF Peanut butter ,2.89,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Spread/Sauce,JIF Peanut butter ,2.48,H-E-B ,Grocery,Downtown,77005,Houston,260839,27187
Spread/Sauce,JIF Peanut butter ,2.52,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Spread/Sauce,JIF Peanut butter ,2.48,Kroger,Grocery,Baytown,77520,Houston,57066,38348
Spread/Sauce,JIF Peanut butter ,2.48,Kroger Fresh Fare,Small Format,Downtown,77006,Houston,115035,21795
Spread/Sauce,JIF Peanut butter ,2.49,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Spread/Sauce,JIF Peanut butter ,3.49,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Spread/Sauce,JIF Peanut butter ,2.24,Walmart,Grocery,Humble,77396,Houston,76211,48587
Spread/Sauce,JIF Peanut butter ,2.99,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Spread/Sauce,Justin's almond butter,13.99,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63882,47850
Spread/Sauce,Justin's almond butter,11.5,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Spread/Sauce,Justin's almond butter,12.59,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Spread/Sauce,Justin's almond butter,11.5,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Spread/Sauce,Justin's almond butter,12.99,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Spread/Sauce,Justin's almond butter,9.99,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Spread/Sauce,Justin's almond butter,13.99,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Snack,Kind Oats and Honey Bar,2.98,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Snack,Kind Oats and Honey Bar,4.99,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Snack,Kind Oats and Honey Bar,3.79,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Snack,Kind Oats and Honey Bar,2.98,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Snack,Kind Oats and Honey Bar,3.59,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Snack,Kind Oats and Honey Bar,4.29,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Snack,Kind Oats and Honey Bar,3.99,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Snack,Kind Oats and Honey Bar,3.99,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Drink,La Croix Box,4.99,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63889,47857
Drink,La Croix Box,4.89,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Drink,La Croix Box,3.99,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Drink,La Croix Box,4.99,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Drink,La Croix Box,4.39,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Drink,La Croix Box,5.89,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Drink,La Croix Box,3.69,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Drink,La Croix Box,3.49,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Drink,La Croix Box,3.99,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Drink,La Croix Box,4.99,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Drink,Land o Lakes Half & Half ,3.79,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63880,47848
Drink,Land o Lakes Half & Half ,1.78,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Drink,Land o Lakes Half & Half ,1.99,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Drink,Land o Lakes Half & Half ,1.89,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Drink,Land o Lakes Half & Half ,1.78,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Drink,Land o Lakes Half & Half ,2.19,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Drink,Land o Lakes Half & Half ,2.19,Walgreens,Convenience ,Hancock,78751,Austin,69427,14441
Drink,Land o Lakes Half & Half ,2.99,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Drink,Land o Lakes Half & Half ,2.49,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Cereal,Lucky Charms 1 lb,4.59,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63904,47872
Cereal,Lucky Charms 1 lb,4.39,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Cereal,Lucky Charms 1 lb,2.78,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Cereal,Lucky Charms 1 lb,3.49,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Spread/Sauce,Moms Tomato Sauce,7.49,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63893,47861
Spread/Sauce,Moms Tomato Sauce,6.99,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Spread/Sauce,Moms Tomato Sauce,6.59,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Spread/Sauce,Moms Tomato Sauce,6.99,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Spread/Sauce,Moms Tomato Sauce,6.99,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Spread/Sauce,Moms Tomato Sauce,6.99,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Spread/Sauce,Moms Tomato Sauce,6.99,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Snack,Natures Own Whole Wheat Bread,3.39,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63899,47867
Snack,Natures Own Whole Wheat Bread,2.78,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Snack,Natures Own Whole Wheat Bread,3.29,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Snack,Natures Own Whole Wheat Bread,2.88,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Snack,Natures Own Whole Wheat Bread,2.89,Target,Grocery,West 7th,76107,Fort Worth,91107,27418
Fruit,Navel Orange,1.29,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63873,47841
Fruit,Navel Orange,1.47,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Fruit,Navel Orange,1.99,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Fruit,Navel Orange,0.98,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Fruit,Navel Orange,1.49,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Fruit,Navel Orange,1.99,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Fruit,Navel Orange,1.99,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Snack,Nut Thins 4.25 oz,3.49,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63898,47866
Snack,Nut Thins 4.25 oz,2.67,Central Market,High-end Grocery,Hyde Park,78756,Austin,93646,8908
Snack,Nut Thins 4.25 oz,3.49,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
Snack,Nut Thins 4.25 oz,2.67,H-E-B ,Grocery,Hancock,78751,Austin,69427,14441
Snack,Nut Thins 4.25 oz,2.29,Natural Grocers,Natural,Hancock,78751,Austin,69427,14441
Snack,Nut Thins 4.25 oz,3.29,Wheatsville Food Co-Op,Natural,Central Austin,78705,Austin,34842,32346
Snack,Nut Thins 4.25 oz,3.69,Whole Foods,High-end Grocery,Tarrytown,78703,Austin,151223,20530
Snack,Original ramen,0.4,Albertsons,Grocery,Ridglea Hills,76116,Fort Worth,63881,47849
Snack,Original ramen,0.67,CVS,Convenience ,Central Austin,78705,Austin,34842,32346
Snack,Original ramen,0.39,Fresh Plus,Small Format,Hancock,78751,Austin,69427,14441
